Rank,Score,Title,Date,Views,Transcript,Category,URL,TranscriptSource
A,76.0,Introduction to AIP Agents,2025-09-16,3536,有,,https://www.youtube.com/watch?v=sr1oRPGKlTQ,youtube
A,76.0,Adding Application Context to an AIP Agent,2025-09-24,1243,有,,https://www.youtube.com/watch?v=tc-zWaujRik,youtube
A,76.0,Introduction to Machine Learning Operations,2025-02-12,5465,无,,https://www.youtube.com/watch?v=h3my5M-HZIM,youtube
A,76.0,Speedrun: Your First Agentic AIP Workflow,2025-09-03,4417,无,,https://www.youtube.com/watch?v=3Rt5NaPexPU,youtube
A,76.0,Conditional Formatting in the Ontology,2025-01-08,1510,无,,https://www.youtube.com/watch?v=U_6ztLKUdbU,youtube
A,70.0,Build with Us | Deep Dive: Speedrun Your FIrst AIP Workflow,2024-09-26,16599,无,,https://www.youtube.com/watch?v=kcMgaLi3Yqs,youtube
A,70.0,Quiver Visual Functions,2024-11-15,2152,无,,https://www.youtube.com/watch?v=pcYk_GAfLdM,youtube
A,76.0,Tool Use in AIP Agents: Object Queries,2025-06-11,2561,无,,https://www.youtube.com/watch?v=o9NWiJIB1tg,youtube
A,76.0,Speedrun: Your First End-to-End Workflow,2025-09-12,17757,无,,https://www.youtube.com/watch?v=6kXdjW4KnHc,youtube
A,76.0,Build with Me: Advanced Dashboarding & Reporting in Contour,2025-02-06,4522,无,,https://www.youtube.com/watch?v=L7ztCFbhDYA,youtube
A,70.0,Intro to Code Workspaces,2024-08-07,2949,无,,https://www.youtube.com/watch?v=DHLP00_PhQY,youtube
A,76.0,Speedrun: Your First End to End Workflow (update),2026-01-14,5523,无,,https://www.youtube.com/watch?v=pZUc7PzYWdg,youtube
A,76.0,Automatically Generating Test Cases in AIP Logic,2026-01-21,529,有,,https://www.youtube.com/watch?v=rZqgi1L5O_4,youtube
A,76.0,Speedrun: Data Science Fundamentals,2025-09-12,2166,无,,https://www.youtube.com/watch?v=ME3LZrS4kUg,youtube
